"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"44","The next week I will present my study about the role of #wetlands  for #hibernating🦇on the first Coastal Wetlands T… https://t.co/kPEOk09x7m",FALSE,27,NA,2021-10-21 10:14:43,TRUE,NA,"1451129816674091009",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bats_Mas",8,FALSE,FALSE,NA,NA
"45","Hassan Ali conceded 19 in last over #CWTC21 😁😁😁",FALSE,2,NA,2021-10-20 17:41:30,FALSE,NA,"1450879863586373640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RHTviews",0,FALSE,FALSE,NA,NA
"46","Premium IPL bowler against our troll material 😂🔥

#W23 #IPL #CWTC21 https://t.co/6UT8oeRLcV",FALSE,2,NA,2021-10-20 15:55:44,FALSE,NA,"1450853248105992192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pirzadobk",0,FALSE,FALSE,NA,NA
"47","David weise hitting 96 meter sixes
#NAMvNED #CWTC21",FALSE,2,NA,2021-10-20 12:39:03,FALSE,NA,"1450803751577694208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RHTviews",0,FALSE,FALSE,NA,NA
"48","When do we be concerned about David Warner? #CWTC21",FALSE,0,NA,2021-10-20 10:08:40,FALSE,NA,"1450765903625285638",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","morts23",0,FALSE,FALSE,NA,NA
"49","Excited to be part of the #CWTC21!

🌊Stay tuned for more information on our session taking place on October 27.🌱

F… https://t.co/mrXhqmJOTf",FALSE,4,NA,2021-10-20 09:50:47,TRUE,NA,"1450761406765228035",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MangrovesNow",1,FALSE,FALSE,NA,NA
"50","Next week! Join the @globalwetlands 'Coastal Wetlands Twitter Conference' #CWTC21 26 &amp; 27 October 2021… https://t.co/500SFPWpBE",FALSE,7,NA,2021-10-20 09:13:58,TRUE,NA,"1450752139387543553",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mozziebites",4,FALSE,FALSE,NA,NA
"51","One of the interesting topics in #CWTC21. Looking forward to participating in the conference organized by… https://t.co/UdmuW09I2E",FALSE,0,NA,2021-10-20 08:32:09,TRUE,NA,"1450741614859542529",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SantruptaSaman1",0,FALSE,FALSE,NA,NA
"52","Join @globalwetlands this time next week for the FREE Coastal Wetlands Twitter Conference #CWTC21! 

The second of… https://t.co/3Et9NIEa5p",FALSE,13,NA,2021-10-19 20:00:02,TRUE,NA,"1450552338603814924",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",6,FALSE,FALSE,NA,NA
"53","One week to go until the FREE Coastal Wetlands Twitter Conference starts! Over 40 presenters from around the world… https://t.co/NUAyZ7zz7N",FALSE,15,NA,2021-10-19 08:00:01,TRUE,NA,"1450371142468837383",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",15,FALSE,FALSE,NA,NA
"54","Looking forwards to presenting at #CWTC21
@globalwetlands https://t.co/Otf6z9f85X",FALSE,30,NA,2021-10-18 09:57:27,FALSE,NA,"1450038306087997441",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bluecology",6,FALSE,FALSE,NA,NA
"55","#CWTC21 has 3 sessions to cater for different time zones🌎🌍🌏

See the conference program at:
https://t.co/SlpTw32DsD… https://t.co/a7nSZ13heI",FALSE,15,NA,2021-10-17 20:30:00,TRUE,NA,"1449835105539788803",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","globalwetlands",9,FALSE,FALSE,NA,NA
