"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"28","RT @japhybradley: #CWTC21",FALSE,0,NA,2021-10-27 19:07:47,FALSE,NA,"1453438293429735425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MariaZann",1,TRUE,FALSE,NA,NA
"29","RT @oceangriffiths: #Seagrass ecosystems are facing widespread decline

Turbidity from coastal development is one of the biggest threats to…",FALSE,0,NA,2021-10-27 19:02:41,FALSE,NA,"1453437011315109891",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ResearchLina",13,TRUE,FALSE,NA,NA
"30","RT @Yasmine_Gatt: #Mangroverestoration can provide multiple ecosystem service &amp; biodiversity benefits. However, information on mangrove res…",FALSE,0,NA,2021-10-27 19:01:12,FALSE,NA,"1453436639213236232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LuisMora01",13,TRUE,FALSE,NA,NA
"31","RT @CexyNature: Tech &amp; analytical challenges hinder us from applying this approach in real time &amp; to other species. Disciplines like #techn…",FALSE,0,NA,2021-10-27 18:49:22,FALSE,NA,"1453433661261447169",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ConnollyLab",4,TRUE,FALSE,NA,NA
"32","RT @ConnollyLab: Automation has disrupted other industries🚨 It’s coming late to #environmentalscience but now it’s here: 
https://t.co/hAZz…",FALSE,0,NA,2021-10-27 18:28:41,FALSE,NA,"1453428453844430849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clare_fitz",25,TRUE,FALSE,NA,NA
"33","Catch up on all the presentations and keynotes from @globalwetlands Coastal Wetlands Twitter Conference through the… https://t.co/C6zzGgiYjp",FALSE,7,NA,2021-10-27 18:27:46,TRUE,NA,"1453428221521932298",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mangroves",0,FALSE,FALSE,NA,NA
"34","RT @T_A_Worthington: Mangrove forests sequester disproportionally large amounts of CO2 &amp; thus there is considerable interest in restoration…",FALSE,0,NA,2021-10-27 18:25:24,FALSE,NA,"1453427627537010690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SeashellDaniel",19,TRUE,FALSE,NA,NA
"35","RT @AndriaOstrowski: #Seagrasses, #saltmarshes &amp; #mangroves protect coastlines, improve water quality, support fisheries &amp; provide critical…",FALSE,0,NA,2021-10-27 18:19:29,FALSE,NA,"1453426137808482310",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",15,TRUE,FALSE,NA,NA
"36","RT @ConnollyLab: Humans have destroyed &amp; degraded coastal wetlands #mangroves #seagrass #saltmarsh. As @globalwetlands Director, I reckon h…",FALSE,0,NA,2021-10-27 18:16:53,FALSE,NA,"1453425486537891847",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",11,TRUE,FALSE,NA,NA
"37","RT @T_A_Worthington: Mangrove forests sequester disproportionally large amounts of CO2 &amp; thus there is considerable interest in restoration…",FALSE,0,NA,2021-10-27 18:13:55,FALSE,NA,"1453424739280736260",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoralVitaReefs",19,TRUE,FALSE,NA,NA
"38","RT @CexyNature: Species diversity, their functional attributes &amp; traits underpins ecosystem functioning. However, we often assess ecosystem…",FALSE,0,NA,2021-10-27 18:11:04,FALSE,NA,"1453424021685612548",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Siderastrea",12,TRUE,FALSE,NA,NA
"39","RT @oceangriffiths: #Seagrass ecosystems are facing widespread decline

Turbidity from coastal development is one of the biggest threats to…",FALSE,0,NA,2021-10-27 18:09:28,FALSE,NA,"1453423617442725892",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",13,TRUE,FALSE,NA,NA
"40","RT @anaifsousa: Seagrass meadows are disturbed by several stressors, e.g. bioturbation by the #NIS lugworm Arenicola spp.
We show Nature-ba…",FALSE,0,NA,2021-10-27 18:09:09,FALSE,NA,"1453423537830694920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",18,TRUE,FALSE,NA,NA
"41","RT @globalwetlands: 🔴 LIVE Session 2 #CWTC21
Welcome @SieversSci our keynote speaker presenting ""Global typologies of coastal wetland statu…",FALSE,0,NA,2021-10-27 18:08:56,FALSE,NA,"1453423484978216966",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",14,TRUE,FALSE,NA,NA
"42","RT @bluecology: Global analyses often oversimplify nature and human impacts, but in this short video @SieversSci
 explains how we can map t…",FALSE,0,NA,2021-10-27 18:06:05,FALSE,NA,"1453422768268140556",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",4,TRUE,FALSE,NA,NA
"43","RT @ChristinABuelow: Coastal wetlands are under threat across the 🌎

A robust #theoryofchange that identifies 

#opportunities for #action…",FALSE,0,NA,2021-10-27 18:05:18,FALSE,NA,"1453422567893651457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",12,TRUE,FALSE,NA,NA
"44","RT @globalwetlands: 👏Thanks for joining us &amp; being part of #CWTC21! Our 40 presenters represented 13 countries talking #mangroves #seagrass…",FALSE,0,NA,2021-10-27 18:03:04,FALSE,NA,"1453422009455726599",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Seagrass_WSA",8,TRUE,FALSE,NA,NA
